id,correct,question,refs,a,b,c,d,figure,correct_letter
T3C11,2,Why is the radio horizon for VHF and UHF signals more distant than the visual horizon?,,Radio signals move somewhat faster than the speed of light,Radio waves are not blocked by dust particles,The atmosphere refracts radio waves slightly,Radio waves are blocked by dust particles,,C
T4A01,3,Which of the following is an appropriate power supply rating for a typical 50-watt output mobile FM transceiver?,,24.0 volts at 4 amperes,13.8 volts at 4 amperes,24.0 volts at 12 amperes,13.8 volts at 12 amperes,,D
T4A02,0,Which of the following should be considered when selecting an accessory SWR meter?,,The frequency and power level at which the measurements will be made,The distance that the meter will be located from the antenna,The maximum SWR anticipated on the transmission line,The ability of the meter to compensate for a poor transmission line match to the antenna,,A
T4A03,0,"Why are short, heavy-gauge wires used for a transceiver’s DC power connection?",,To minimize voltage drop when transmitting,To provide a close match to the power supply output impedance,To avoid RF interference,To minimize radiative losses in the power cable,,A
T4A04,1,How are the audio input and output of a transceiver connected in a station configured to operate using FT8?,,To a computer running a terminal program and connected to a terminal node controller unit,To the audio output and input of a computer running FT8 software,"To an FT8 conversion unit, a keyboard, and a computer monitor",To a computer connected to the FT8converter.com website,,B
T4A05,0,Where should an RF power meter be installed?,,"In the feed line, between the transmitter and antenna",At the power supply output,In parallel with the push-to-talk line and the antenna,"In the power supply cable, as close as possible to the radio",,A
T4A06,2,What signals are used in a computer-radio interface for digital mode operation?,,"Receive and transmit mode, status, and location",Antenna and RF power,"Receive audio, transmit audio, and transmitter keying",NMEA GPS location and DC power,,C
T4A07,2,Which of the following is one of the connections required between a computer and a transceiver to operate digital modes?,,Computer “line out” to transceiver push-to-talk,Computer “line in” to transceiver push-to-talk,Computer “line in” to transceiver speaker connector,Computer “line out” to transceiver speaker connector,,C
T4A08,3,Which of the following conductors is preferred for bonding at RF?,,Copper braid removed from coaxial cable,Copper-clad steel wire,Twisted-pair cable,Flat copper strap,,D
T4A09,1,How can you determine the length of time that equipment can be powered from a battery?,,Divide the watt-hour rating of the battery by the peak power consumption of the equipment,Divide the battery ampere-hour rating by the average current draw of the equipment,Multiply the watts per hour consumed by the equipment by the battery power rating,Multiply the square of the current rating of the battery by the input resistance of the equipment,,B
T4A10,0,What function does a digital mode hotspot perform for nearby transceivers?,,Communication with a digital voice or data network,FT8 digital communications via AFSK using a smartphone connected to the internet,RTTY encoding and decoding without a computer,High-speed digital communications for meteor scatter,,A
T4A11,0,Where should the negative power return of a mobile transceiver be connected in a vehicle?,,At the 12-volt battery chassis ground,To the shell of the power connector,To any metal part of the vehicle,Through the transceiver’s mounting bracket,,A
T4A12,2,What is an electronic keyer?,,A device for switching antennas from transmit to receive,A device for voice activated switching from receive to transmit,A device that assists in manual sending of Morse code,An interlock to prevent unauthorized use of a radio,,C
T4B01,1,What is the effect of excessive microphone gain on SSB transmissions?,,Frequency instability,Distorted transmitted audio,Increased SWR,Sideband inversion,,B
T4B02,0,Which of the following can be used to enter a transceiver’s operating frequency?,,The keypad or VFO knob,The CTCSS or DTMF encoder,The Automatic Frequency Control,All these choices are correct,,A
T4B03,0,How is squelch adjusted so that a weak FM signal can be heard?,,Set the squelch threshold so that receiver output audio is on all the time,Turn up the audio level until it overcomes the squelch threshold,Turn on the anti-squelch function,Enable squelch enhancement,,A
T4B04,3,What does an FM signal sound like when received slightly off frequency?,,The audio increases in pitch,The audio decrease in pitch,There is no effect except for reduction in amplitude,The audio becomes distorted,,D
T4B05,2,What does the scanning function of an FM transceiver do?,,Checks incoming signal deviation,Prevents interference to nearby repeaters,Tunes through a range of frequencies to check for activity,Tunes through a range of frequencies to determine the antenna’s resonant frequency,,C
T4B06,3,Which of the following controls could be used if the voice pitch of a single-sideband signal returning to your CQ call seems too high or low?,,The AGC or limiter,The bandwidth selection,The tone squelch,The RIT or Clarifier,,D
T4B07,1,What is a DMR “code plug”?,,An adapter cable used to connect a DMR radio to a computer for internet access,Configuration data loaded onto your radio to access repeaters and talkgroups,An upgrade to DMR programming software provided by the radio manufacturer to accommodate new radio models,A Coder-Decoder (CODEC) that converts analog voice data to DMR digital data and vice versa,,B
T4B08,1,What is the advantage of having a choice of receiver filter bandwidths in a multimode transceiver?,,Permits monitoring several modes simultaneously by selecting a separate filter for each mode,Permits noise or interference reduction by selecting a bandwidth matching the mode,Increases the number of frequencies that can be stored in memory,Increases the amount of offset between receive and transmit frequencies,,B
T4B09,2,How is a specific group of stations selected on a DMR digital voice transceiver?,,By retrieving the frequencies from transceiver memory,By enabling the group’s CTCSS tone,By entering the group’s identification code,"By inserting a five-pin, pre-programmed code plug",,C
T4B10,2,Which of the following receiver filter bandwidths provides the best signal-to-noise ratio for SSB reception?,,500 Hz,1000 Hz,2400 Hz,5000 Hz,,C
T4B11,0,Which of the following must be programmed into a D-STAR digital transceiver before transmitting?,,Your call sign,Your output power,The codec type being used,All these choices are correct,,A
T5A01,3,Electrical current is measured in which of the following units?,,Volts,Watts,Ohms,Amperes,,D
T5A02,1,Electrical power is measured in which of the following units?,,Volts,Watts,Watt-hours,Amperes,,B
T5A03,3,What is the term for the flow of electrons in an electric circuit?,,Voltage,Amperes per second,Volts per second,Current,,D
T5A04,2,What term describes the number of times per second that an alternating current makes a complete cycle?,,Pulse rate,Wave number,Frequency,Wavelength,,C
T5A05,0,A difference in which of the following causes electron flow?,,Voltage,Ampere-hours,Capacitance,Inductance,,A
T5A06,0,What is the unit of frequency?,,Hertz,Henry,Farad,Epicycles per second,,A
T5A07,1,Why are metals generally good conductors of electricity?,,They have relatively high density,They have many free electrons,They have many free protons,They have relatively high Young’s modulus values,,B
T5A08,1,Which of the following is a good electrical insulator?,,Sea water,Glass,Stainless steel,Graphite,,B
T5A09,2,Which of the following describes alternating current?,,Current that alternates between a positive direction and zero,Current that alternates between a negative direction and zero,Current that alternates between positive and negative directions,All these answers are correct,,C
T5A10,2,Which term describes the rate at which electrical energy is used?,,Resistance,Current,Power,Voltage,,C
T5A11,3,What type of current flow is opposed by resistance?,,Direct current,Alternating current,RF current,All these choices are correct,,D
T5B01,2,How many milliamperes is 1.5 amperes?,,0.0000015 milliamperes,0.0015 milliamperes,1500 milliamperes,"1,500,000 milliamperes",,C
T5B02,0,"Which is equal to 1,500,000 hertz?",,1500 kHz,1500 MHz,15 GHz,150 kHz,,A
T5B03,2,Which is equal to one kilovolt?,,One one-thousandth of a volt,One hundred volts,One thousand volts,One million volts,,C
T5B04,0,Which is equal to one microvolt?,,One one-millionth of a volt,One million volts,One thousand kilovolts,One one-thousandth of a volt,,A
T5B05,1,Which is equal to 500 milliwatts?,,5 watts,0.5 watts,"500,000 watts","500,000,000 watts",,B
T5B06,3,Which is equal to 3000 milliamperes?,,0.003 amperes,0.3 amperes,"3,000,000 amperes",3 amperes,,D
T5B07,2,Which is equal to 3.525 MHz?,,0.003525 kHz,35.25 kHz,3525 kHz,"3,525,000 kHz",,C
T5B08,1,"Which is equal to 1,000,000 picofarads?",,0.001 microfarads,1 microfarad,1000 microfarads,"1,000,000,000 microfarads",,B
T5B09,1,Which decibel value most closely represents a power increase from 5 watts to 10 watts?,,2 dB,3 dB,5 dB,10 dB,,B
T5B10,2,Which decibel value most closely represents a power decrease from 12 watts to 3 watts?,,-1 dB,-3 dB,-6 dB,-9 dB,,C
T5B11,0,Which decibel value represents a power increase from 20 watts to 200 watts?,,10 dB,12 dB,18 dB,28 dB,,A
T5B12,3,Which is equal to 28400 kHz?,,28.400 kHz,2.800 MHz,284.00 MHz,28.400 MHz,,D
T5B13,2,Which is equal to 2425 MHz?,,0.002425 GHz,24.25 GHz,2.425 GHz,242.5 GHz,,C
T5C01,3,What describes the ability to store energy in an electric field?,,Inductance,Resistance,Frequency,Capacitance,,D
T5C02,0,What is the unit of capacitance?,,Farad,Ohm,Volt,Henry,,A
T5C03,3,What describes the ability to store energy in a magnetic field?,,Admittance,Capacitance,Resistance,Inductance,,D
T5C04,2,What is the unit of inductance?,,Coulomb,Farad,Henry,Ohm,,C
T5C05,3,What is the unit of impedance?,,Volt,Ampere,Coulomb,Ohm,,D
T5C06,0,What is the abbreviation for kilohertz?,,kHz,khz,KHz,KHZ,,A
T5C07,3,What is the abbreviation for megahertz?,,mHz,mHZ,Mhz,MHz,,D
T5C08,0,What formula is used to calculate electrical power (P) in a DC circuit?,,P = I x E,P = E / I,P = I2 x E,P = I / E,,A
T5C09,0,How much power is delivered by a voltage of 13.8 volts DC and a current of 10 amperes?,,138 watts,0.7 watts,23.8 watts,3.8 watts,,A
T5C10,1,How much power is delivered by a voltage of 12 volts DC and a current of 2.5 amperes?,,4.8 watts,30 watts,14.5 watts,0.208 watts,,B
T5C11,1,How much current is required to deliver 120 watts at a voltage of 12 volts DC?,,0.1 amperes,10 amperes,12 amperes,132 amperes,,B
T5C12,0,What is impedance?,,The opposition to AC current flow,The inverse of resistance,The inverse of reactance,The power handling capability of a component,,A
T5D01,1,What formula is used to calculate current in a circuit?,,I = E x R,I = E / R,I = E2 x R,I = E2 / R,,B
T5D02,0,What formula is used to calculate voltage in a circuit?,,E = I x R,E = I / R,E = I2 x R,E = I2 / R,,A
T5D03,1,What formula is used to calculate resistance in a circuit?,,R = E x I,R = E / I,R = E + I,R = E - I,,B
T5D04,1,What is the resistance of a circuit in which a current of 3 amperes flows when connected to 90 volts?,,3 ohms,30 ohms,1/30 ohm,270 ohms,,B
T5D05,2,What is the resistance of a circuit for which the applied voltage is 12 volts and the current flow is 1.5 amperes?,,18 ohms,0.125 ohms,8 ohms,13.5 ohms,,C
T5D06,0,What is the resistance of a circuit that draws 4 amperes from a 12-volt source?,,3 ohms,16 ohms,48 ohms,8 ohms,,A
T5D07,3,What is the current in a circuit with an applied voltage of 120 volts and a resistance of 80 ohms?,,9600 amperes,200 amperes,0.667 amperes,1.5 amperes,,D
T5D08,2,What is the current through a 100-ohm resistor connected across 200 volts?,,"20,000 amperes",0.5 amperes,2 amperes,100 amperes,,C
T5D09,2,What is the current through a 24-ohm resistor connected across 240 volts?,,2400 amperes,0.1 amperes,10 amperes,5760 amperes,,C
T5D10,0,What is the voltage across a 2-ohm resistor if a current of 0.5 amperes flows through it?,,1 volt,0.25 volts,2.5 volts,1.5 volts,,A
T5D11,1,What is the voltage across a 10-ohm resistor if a current of 1 ampere flows through it?,,1 volt,10 volts,11 volts,9 volts,,B
T5D12,3,What is the voltage across a 10-ohm resistor if a current of 2 amperes flows through it?,,8 volts,0.2 volts,12 volts,20 volts,,D
T5D13,0,In which type of circuit is the current always the same through all components?,,Series,Parallel,Resonant,Branch,,A
T5D14,1,In which type of circuit is the voltage always the same across all components?,,Series,Parallel,Resonant,Branch,,B
T6A01,1,What electrical component opposes the flow of current in a DC circuit?,,Inductor,Resistor,Inverter,Transformer,,B
T6A02,2,What type of component is often used as an adjustable volume control?,,Fixed resistor,Power resistor,Potentiometer,Transformer,,C
T6A03,1,What electrical parameter is controlled by a potentiometer?,,Inductance,Resistance,Capacitance,Field strength,,B
T6A04,1,What electrical component stores energy in an electric field?,,Resistor,Capacitor,Inductor,Diode,,B
T6A05,3,What type of electrical component consists of conductive surfaces separated by an insulator?,,Resistor,Potentiometer,Oscillator,Capacitor,,D
T6A06,2,What type of electrical component stores energy in a magnetic field?,,Resistor,Capacitor,Inductor,Diode,,C
T6A07,3,What electrical component is typically constructed as a coil of wire?,,Transistor,Capacitor,Diode,Inductor,,D
T6A08,2,What is the function of an SPDT switch?,,A single circuit is opened or closed,Two circuits are opened or closed,A single circuit is switched between one of two other circuits,Two circuits are each switched between one of two other circuits,,C
T6A09,0,What type of switch is represented by component 3 in figure T-2?,,Single-pole single-throw,Single-pole double-throw,Double-pole single-throw,Double-pole double-throw,t-2.png,A
T6A10,3,Which of the following battery chemistries is rechargeable?,,Nickel-metal hydride,Lithium-ion,Lead-acid,All these choices are correct,,D
T6A11,1,Which of the following battery chemistries is not rechargeable?,,Nickel-cadmium,Carbon-zinc,Lead-acid,Lithium-ion,,B
T6B01,0,Which is true about forward voltage drop in a diode?,,It is lower in some diode types than in others,It is proportional to peak inverse voltage,It indicates that the diode is defective,It has no impact on the voltage delivered to the load,,A
T6B02,2,What electronic component allows current to flow in only one direction?,,Resistor,Fuse,Diode,Driven element,,C
T6B03,2,Which of these components can be used as an electronic switch?,,Varistor,Potentiometer,Transistor,Thermistor,,C
T6B04,1,Which of the following components can consist of three regions of semiconductor material?,,Alternator,Transistor,Triode,Pentode,,B
T6B05,1,"What type of transistor has a gate, drain, and source?",,Varistor,Field-effect,Hall-effect,Bipolar junction,,B
T6B06,1,How is the cathode lead of a semiconductor diode often marked on the package?,,"With the word ""cathode""",With a stripe,With the letter C,With the letter K,,B
T6B07,0,What causes a light-emitting diode (LED) to emit light?,,Forward current,Reverse current,Capacitively-coupled RF signal,Inductively-coupled RF signal,,A
T6B08,3,What does the abbreviation FET stand for?,,Frequency Emission Transmitter,Fast Electron Transistor,Free Electron Transmitter,Field Effect Transistor,,D
T6B09,2,What are the names for the electrodes of a diode?,,Plus and minus,Source and drain,Anode and cathode,Gate and base,,C
T6B10,1,Which of the following can provide power gain?,,Transformer,Transistor,Reactor,Resistor,,B
T6B11,3,What does the term gain mean in amplifiers?,,The output signal voltage relative to the input signal voltage,The output signal current relative to the input signal current,The output signal power relative to the input signal power,All these choices are correct,,D
T6B12,1,What are the names of the electrodes of a bipolar junction transistor?,,"Signal, bias, power","Emitter, base, collector","Input, output, supply","Pole one, pole two, output",,B
T6C01,2,What is an electrical diagram using standard component symbols called?,,Connection chart,Instrumentation system,Schematic,Flow chart,,C
T6C02,0,What is component 1 in figure T-1?,,Resistor,Transistor,Battery,Connector,t-1.png,A
T6C03,1,What is component 2 in figure T-1?,,Resistor,Transistor,Indicator lamp,Connector,t-1.png,B
T6C04,2,What is component 3 in figure T-1?,,Resistor,Transistor,Lamp,Ground symbol,t-1.png,C
T6C05,3,What is component 4 in figure T-1?,,Resistor,Transistor,Ground symbol,Battery,t-1.png,D
T6C06,1,What is component 6 in figure T-2?,,Resistor,Capacitor,Regulator IC,Transistor,t-2.png,B
T6C07,3,What is component 8 in figure T-2?,,Resistor,Inductor,Regulator IC,Light emitting diode,t-2.png,D
T6C08,2,What is component 9 in figure T-2?,,Variable capacitor,Variable inductor,Variable resistor,Variable transformer,t-2.png,C
T6C09,3,What is component 4 in figure T-2?,,Variable inductor,Double-pole switch,Potentiometer,Transformer,t-2.png,D
T6C10,3,What is component 3 in figure T-3?,,Connector,Meter,Variable capacitor,Variable inductor,t-3.png,D
T6C11,0,What is component 4 in figure T-3?,,Antenna,Transmitter,Dummy load,Ground,t-3.png,A
T6C12,2,Which of the following is accurately represented in electrical schematics?,,Wire lengths,Physical appearance of components,Component connections,All these choices are correct,,C
T6D01,1,Which of the following devices or circuits changes an alternating current into a varying direct current signal?,,Transformer,Rectifier,Amplifier,Reflector,,B
T6D02,0,What is a relay?,,An electrically-controlled switch,A current-controlled amplifier,An inverting amplifier,A pass transistor,,A
T6D03,2,Which of the following is a reason to use shielded wire?,,To decrease the resistance of DC power connections,To increase the current carrying capability of the wire,To prevent coupling of unwanted signals to or from the wire,To reduce receiver overload,,C
T6D04,2,Which of the following displays an electrical quantity as a numeric value?,,Potentiometer,Transistor,Meter,Relay,,C
T6D05,0,What type of circuit controls the amount of voltage from a power supply?,,Regulator,Oscillator,Filter,Phase inverter,,A
T6D06,1,What component changes 120 V AC power to a lower AC voltage for other uses?,,Variable capacitor,Transformer,Transistor,Diode,,B
T6D07,0,Which of the following is commonly used as a visual indicator?,,LED,FET,Zener diode,All these choices are correct,,A
T6D08,3,Which of the following is combined with an inductor to make a resonant circuit?,,Resistor,Zener diode,Potentiometer,Capacitor,,D
T6D09,2,What is the name of a device that combines several semiconductors and other components into one package?,,Transducer,Multi-pole relay,Integrated circuit,Transformer,,C
T6D10,2,What is the function of component 2 in figure T-1?,,Give off light when current flows through it,Supply electrical energy,Control the flow of current,Convert electrical energy into radio waves,t-1.png,C
T6D11,0,Which of the following is a resonant or tuned circuit?,,An inductor and a capacitor in series or parallel,A linear voltage regulator,A resistor circuit used for reducing standing wave ratio,A circuit designed to provide high-fidelity audio,,A
T7A01,1,Which term describes the ability of a receiver to detect the presence of a signal?,,RF gain,Sensitivity,Selectivity,Total Harmonic Distortion,,B
T7A02,0,What is a transceiver?,,A device that combines a receiver and transmitter,A device for matching feed line impedance to 50 ohms,A device for automatically sending and decoding Morse code,A device for converting receiver and transmitter frequencies to another band,,A
T7A03,1,Which of the following is used to convert a signal from one frequency to another?,,Phase splitter,Mixer,Inverter,Amplifier,,B
T7A04,2,Which term describes the ability of a receiver to discriminate between multiple signals?,,Discrimination ratio,Sensitivity,Selectivity,Harmonic distortion,,C
T7A05,3,What is the name of a circuit that generates a signal at a specific frequency?,,Reactance modulator,Phase modulator,Low-pass filter,Oscillator,,D
T7A06,2,What device converts the RF input and output of a transceiver to another band?,,High-pass filter,Low-pass filter,Transverter,Phase converter,,C
T7A07,1,What is the function of a transceiver’s PTT input?,,Input for a key used to send CW,Switches transceiver from receive to transmit when grounded,Provides a transmit tuning tone when grounded,Input for a preamplifier tuning tone,,B
T7A08,2,Which of the following describes combining speech with an RF carrier signal?,,Impedance matching,Oscillation,Modulation,Low-pass filtering,,C
T7A09,1,What is the function of the switch which selects either SSB or CW-FM on some VHF power amplifiers?,,Change the mode of the transmitted signal,Set the amplifier for proper operation in the selected mode,Change the frequency range of the amplifier to operate in the proper segment of the band,Reduce the received signal noise,,B
T7A10,1,What can be added to the output of a transceiver to increase the transmitted output power?,,A potentiometer,An RF power amplifier,An impedance multiplier,All these choices are correct,,B
T7A11,0,What is the function of the Variable Frequency Oscillator (VFO) circuit in a transceiver?,,Set the receive and transmit frequency,Provide automatic frequency control,Inject a variable frequency to allow CW reception,Generate and demodulate single sideband signals,,A
T7B01,3,What can you do if you are told your FM handheld or mobile transceiver is over-deviating?,,Talk louder into the microphone,Let the transceiver cool off,Change to a higher power level,Talk farther away from the microphone,,D
T7B02,0,What would cause a broadcast AM or FM radio to receive an amateur radio transmission unintentionally?,,The receiver is unable to reject strong signals outside the AM or FM band,The microphone gain of the transmitter is turned up too high,The audio amplifier of the transmitter is overloaded,The deviation of an FM transmitter is set too low,,A
T7B03,3,Which of the following can cause radio frequency interference?,,Fundamental overload,Harmonics,Spurious emissions,All these choices are correct,,D
T7B04,3,Which of the following might be the cause of low RF power output from a solid-state transceiver?,,Poor amplifier noise figure,Poor amplifier linearity,Low SWR,High SWR,,D
T7B05,0,Which of the following might reduce interference by an amateur station to a non-amateur over-the-air radio receiver?,,Block the amateur signal with a filter at the antenna input of the affected receiver,Block the interfering signal with a filter on the amateur transmitter,Switch the transmitter from FM to SSB,Switch the transmitter to a narrow-band mode,,A
T7B06,0,Which of the following actions should you take if a neighbor tells you that your station’s transmissions are interfering with their radio or TV reception?,,Make sure that your station is functioning properly and that it does not cause interference to your own radio or television when it is tuned to the same channel,Immediately turn off your transmitter and contact the nearest FCC office for assistance,Install a harmonic doubler on the output of your transmitter and tune it until the interference is eliminated,All these choices are correct,,A
T7B07,3,Which of the following can reduce interference to a 2-meter band transceiver from a nearby commercial FM station?,,Installing an RF preamplifier,Using double-shielded coaxial cable,Installing bypass capacitors on the microphone cable,Installing a band-reject filter,,D
T7B08,3,What should you do if something in a neighbor’s home is causing harmful interference to your amateur station?,,Work with your neighbor to identify the offending device,Politely inform your neighbor that FCC rules prohibit the use of devices that cause interference,Make sure your station meets the standards of good amateur practice,All these choices are correct,,D
T7B09,3,What should be the first step to resolve non-fiber optic cable TV interference caused by your amateur radio transmission?,,Add a low-pass filter to the TV antenna input,Add a high-pass filter to the TV antenna input,Add a preamplifier to the TV antenna input,Be sure all TV feed line coaxial connectors are installed properly,,D
T7B10,3,What might be a problem if you receive a report that your audio signal through an FM repeater is distorted or unintelligible?,,Your transmitter is slightly off frequency,You are speaking too loudly or too close to the microphone,You are in a bad location,All these choices are correct,,D
T7B11,2,Which of the following can eliminate distorted voice transmissions?,,Adding extra feedline to the antenna to lower SWR,Turning the radio on and off to reset the computer-controlled circuitry,Adding a clip-on ferrite “choke” to the microphone cable to prevent the transmitted signal from feeding back into the transmitter,Turning the squelch control fully clockwise to prevent the transmitted signal from triggering the squelch circuit,,C
T7C01,0,What is the primary purpose of a dummy load?,,To prevent transmitting signals over the air when making tests,To prevent over-modulation of a transmitter,To improve the efficiency of an antenna,To improve the signal-to-noise ratio of a receiver,,A
T7C02,1,Which of the following is used to determine if an antenna is resonant at the desired operating frequency?,,A VTVM,An antenna analyzer,A Q meter,A frequency counter,,B
T7C03,1,What does a typical RF dummy load consist of?,,A low-voltage power supply and an AC relay,A 50-ohm non-inductive resistor mounted on a heat sink,A low-voltage power supply and a DC relay,A 50-ohm inductive reactance mounted in a shielded enclosure,,B
T7C04,2,What reading on an SWR meter indicates a perfect impedance match between the antenna and the feed line?,,50:50,Zero,1:1,Full Scale,,C
T7C05,0,Why do most solid-state transmitters reduce output power as SWR increases beyond a certain level?,,To protect the RF output amplifier transistors,To comply with FCC rules on spectral purity,Because power supplies cannot supply enough current at high SWR,To lower the SWR on the transmission line,,A
T7C06,3,What does an SWR reading of 4:1 indicate?,,Loss of -4 dB,Good impedance match,Gain of +4 dB,Impedance mismatch,,D
T7C07,2,What happens to power lost in a feed line?,,It increases the SWR,It is radiated as harmonics,It is converted into heat,It distorts the signal,,C
T7C08,3,Which instrument can be used to determine SWR?,,Voltmeter,Ohmmeter,Iambic pentameter,Directional wattmeter,,D
T7C09,0,Which of the following causes failure of coaxial cables?,,Moisture contamination,Solder flux contamination,Rapid fluctuation in transmitter output power,Operation at 100% duty cycle for an extended period,,A
T7C10,3,Why should the outer jacket of coaxial cable be resistant to ultraviolet light?,,Ultraviolet light can increase the resistance of the conductors,Ultraviolet light can increase losses in the cable’s jacket,"Ultraviolet and RF signals can mix, causing interference",Ultraviolet light can damage the jacket and allow water to enter the cable,,D
T7C11,2,What is an advantage of foam-dielectric versus solid-dielectric coaxial cable?,,It is more resistant to moisture contamination,It has higher voltage breakdown,It has less loss per foot,It has a better impedance match to 50 ohms,,C
T7D01,1,Which instrument would you use to measure electric potential?,,An ammeter,A voltmeter,A potentiometer,An ohmmeter,,B
T7D02,1,How is a voltmeter connected to a component to measure applied voltage?,,In series,In parallel,In quadrature,In phase,,B
T7D03,0,"When configured to measure current, how is a multimeter connected to a component?",,In series,In parallel,In quadrature,In phase,,A
T7D04,3,Which instrument is used to measure electric current?,,An ohmmeter,An electrometer,A voltmeter,An ammeter,,D
T7D05,0,How does an ohmmeter measure the resistance of a circuit or component?,,By applying a small current and measuring the resulting voltage,By placing a variable resistor in parallel with the circuit,By placing a variable resistor in series with the circuit,By applying a variable voltage and measuring the resulting current change,,A
T7D06,2,Which of the following can damage a multimeter?,,Attempting to measure resistance using the voltage setting,Failing to connect one of the probes to ground,Attempting to measure voltage when using the resistance setting,Not allowing it to warm up properly,,C
T7D07,2,Which of the following measurements are made using a multimeter?,,Signal strength and noise,Impedance and reactance,Voltage and resistance,All these choices are correct,,C
T7D08,0,Which of the following types of solder should not be used for radio and electronic applications?,,Acid-core solder,Lead-tin solder,Rosin-core solder,Tin-copper solder,,A
T7D09,2,What is the characteristic appearance of a cold tin-lead solder joint?,,Dark black spots,A bright or shiny surface,A rough or lumpy surface,A greenish tinge,,C
T7D10,0,"What reading indicates that an ohmmeter is connected across a large, discharged capacitor?",,Increasing resistance with time,Decreasing resistance with time,Steady full-scale reading,Alternating between open and short circuit,,A
T7D11,1,Which of the following precautions should be taken when measuring in-circuit resistance with an ohmmeter?,,Ensure that the applied voltages are correct,Ensure that the circuit is not powered,Ensure that the circuit is grounded,Ensure that the circuit is operating at the correct frequency,,B
T8A01,2,Which of the following is a form of amplitude modulation?,,Spread spectrum,Packet radio,Single sideband,Phase shift keying (PSK),,C
T8A02,0,What type of modulation is commonly used for VHF packet radio transmissions?,,FM or PM,SSB,AM,PSK,,A
T8A03,2,Which type of voice mode is often used for long-distance (weak signal) contacts on the VHF and UHF bands?,,FM,DRM,SSB,PM,,C
T8A04,3,Which type of modulation is commonly used for VHF and UHF voice repeaters?,,AM,SSB,PSK,FM or PM,,D
T8A05,2,Which of the following signal types has the narrowest bandwidth?,,FM voice,SSB voice,CW,Slow-scan TV,,C
T8A06,0,"Which sideband is normally used for 10-meter HF, VHF, and UHF single-sideband communications?",,Upper sideband,Lower sideband,Suppressed sideband,Inverted sideband,,A
T8A07,2,What is one characteristic of single sideband (SSB) compared to FM?,,SSB signals are easier to tune in correctly,SSB signals are less susceptible to interference,SSB signals have narrower bandwidth,SSB signals are less susceptible to high SWR,,C
T8A08,1,What is the approximate bandwidth of a typical single sideband (SSB) voice signal?,,1 kHz,3 kHz,6 kHz,15 kHz,,B
T8A09,2,What is the approximate bandwidth of an FM voice signal on VHF repeaters?,,Less than 500 Hz,About 150 kHz,Between 10 and 15 kHz,Between 50 and 125 kHz,,C
T8A10,1,What is the approximate bandwidth of AM fast-scan TV transmissions?,,More than 10 MHz,About 6 MHz,About 3 MHz,About 1 MHz,,B
T8A11,1,What is the approximate bandwidth required to transmit a CW signal?,,2.4 kHz,150 Hz,1000 Hz,15 kHz,,B
T8A12,1,Which of the following is a disadvantage of FM compared with single sideband?,,Voice quality is poorer,Only one signal can be received at a time,FM signals are harder to tune,FM signals are more susceptible to high SWR,,B
T8B01,2,What telemetry information is typically transmitted by satellite beacons?,,The signal strength of received signals,Time of day accurate to plus or minus 1/10 second,Health and status of the satellite,All these choices are correct,,C
T8B02,1,What is the impact of using excessive effective radiated power on a satellite uplink?,,Possibility of commanding the satellite to an improper mode,Blocking access by other users,Overloading the satellite batteries,Possibility of rebooting the satellite control computer,,B
T8B03,3,Which of the following are provided by satellite tracking programs?,,Maps showing the real-time position of the satellite track over Earth,"The time, azimuth, and elevation of the start, maximum altitude, and end of a pass","The apparent frequency of the satellite transmission, including effects of Doppler shift",All these choices are correct,,D
T8B04,3,What mode of transmission is commonly used by amateur radio satellites?,,SSB,FM,CW/data,All these choices are correct,,D
T8B05,3,What is a satellite beacon?,,The primary transmit antenna on the satellite,An indicator light that shows where to point your antenna,A reflective surface on the satellite,A transmission from a satellite that contains status information,,D
T8B06,1,Which of the following are inputs to a satellite tracking program?,,The satellite transmitted power,The Keplerian elements,The last observed time of zero Doppler shift,All these choices are correct,,B
T8B07,2,What is Doppler shift in reference to satellite communications?,,A change in the satellite orbit,A mode where the satellite receives signals on one band and transmits on another,An observed change in signal frequency caused by relative motion between the satellite and Earth station,A special digital communications mode for some satellites,,C
T8B08,1,What does it mean if a satellite is operating in U/V mode?,,The satellite uplink is in the 15-meter band and the downlink is in the 10-meter band,The satellite uplink is in the 70-centimeter band and the downlink is in the 2-meter band,The satellite operates using ultraviolet frequencies,The satellite frequencies are usually variable,,B
T8B09,1,What causes spin fading of satellite signals?,,Circular polarized noise interference radiated from the sun,Rotation of the satellite and its antennas,Doppler shift of the received signal,Interfering signals within the satellite uplink band,,B
T8B10,3,What does the term LEO mean in reference to communication satellites?,,"Low Energy Orbit, which conserves battery power","Low Elevation Orbit, which appears close to the horizon from the earth station","Low Equilibrium Orbit, which has a slightly unstable period","Low Earth Orbit, which has a period of around 100 minutes",,D
T8B11,0,Who is permitted to receive telemetry from an amateur radio satellite?,,Anyone,Only the satellite control operator,Only the control operator or a licensed radio amateur who has received the encryption key from the control operator,Only a licensed radio amateur who has received the encryption key from AMSAT,,A
T8B12,2,Which of the following is a way to determine whether your satellite uplink power into a linear transponder satellite is neither too low nor too high?,,Check your signal strength report in the telemetry data,Listen for distortion on your downlink signal,Your signal strength on the downlink should be about the same as the beacon,Compare your signal to others on the downlink using an internet SDR receiver,,C
